[TRAIN]: (195/1600): reward: -7.681118413805962, rate: 5.318881586194038, loss: 0.008930275216698647, rho: 0.4
[TRAIN]: (196/1600): reward: -5.057661533355713, rate: 4.942338466644287, loss: 0.009642118588089943, rho: 0.4
[TRAIN]: (197/1600): reward: -9.810920286923647, rate: 0.18907971307635307, loss: 0.010120430961251259, rho: 0.4
[TRAIN]: (198/1600): reward: -6.417545795440674, rate: 4.582454204559326, loss: 0.009140199050307274, rho: 0.4
[TRAIN]: (199/1600): reward: -0.12861904641613364, rate: 6.871380953583866, loss: 0.00842475239187479, rho: 0.4
[TRAIN]: (200/1600): reward: -2.6953245662152767, rate: 7.304675433784723, loss: 0.013362161815166473, rho: 0.4
[TRAIN]: (201/1600): reward: -13.0, rate: 0, loss: 0.01181928999722004, rho: 0.4
[TRAIN]: (202/1600): reward: 1.630317822098732, rate: 10.630317822098732, loss: 0.011840459890663624, rho: 0.4
[TRAIN]: (203/1600): reward: 12.664737105369568, rate: 19.664737105369568, loss: 0.01233256421983242, rho: 0.4
[TRAIN]: (204/1600): reward: -10.690825551748276, rate: 0.30917444825172424, loss: 0.01088781002908945, rho: 0.4
[TRAIN]: (205/1600): reward: -7.281569287180901, rate: 0.7184307128190994, loss: 0.012870674021542072, rho: 0.4
[TRAIN]: (206/1600): reward: 5.294112116098404, rate: 13.294112116098404, loss: 0.011383181437849998, rho: 0.4
[TRAIN]: (207/1600): reward: -4.486004449427128, rate: 5.513995550572872, loss: 0.011436444707214832, rho: 0.4
[TRAIN]: (208/1600): reward: -9.917412631213665, rate: 0.08258736878633499, loss: 0.01286512054502964, rho: 0.4
[TRAIN]: (209/1600): reward: 10.438242256641388, rate: 17.438242256641388, loss: 0.012462873943150043, rho: 0.4
[TRAIN]: (210/1600): reward: -3.3043084144592285, rate: 3.6956915855407715, loss: 0.012424293905496597, rho: 0.4
[TRAIN]: (211/1600): reward: -9.55915953218937, rate: 3.440840467810631, loss: 0.007475696504116058, rho: 0.4
[TRAIN]: (212/1600): reward: -2.406993865966797, rate: 4.593006134033203, loss: 0.01247117854654789, rho: 0.4
[TRAIN]: (213/1600): reward: -7.60407018661499, rate: 5.39592981338501, loss: 0.01056642085313797, rho: 0.4
[TRAIN]: (214/1600): reward: -11.655986458063126, rate: 0.3440135419368744, loss: 0.010800778865814209, rho: 0.4
[TRAIN]: (215/1600): reward: -11.565000534057617, rate: 0.4349994659423828, loss: 0.009951151907444, rho: 0.4
[TRAIN]: (216/1600): reward: -11.271065473556519, rate: 1.7289345264434814, loss: 0.013685193844139576, rho: 0.4
[TRAIN]: (217/1600): reward: -1.825378656387329, rate: 9.174621343612671, loss: 0.010472607798874378, rho: 0.4
[TRAIN]: (218/1600): reward: -8.12831997871399, rate: 3.8716800212860107, loss: 0.012536898255348206, rho: 0.4
[TRAIN]: (219/1600): reward: -1.1793670654296875, rate: 8.820632934570312, loss: 0.009422441944479942, rho: 0.4
[TRAIN]: (220/1600): reward: -11.248012125492096, rate: 0.751987874507904, loss: 0.010925126262009144, rho: 0.4
[TRAIN]: (221/1600): reward: -2.6990442276000977, rate: 5.300955772399902, loss: 0.01666891761124134, rho: 0.4
[TRAIN]: (222/1600): reward: -12.771435007452965, rate: 0.22856499254703522, loss: 0.013704848475754261, rho: 0.4
[TRAIN]: (223/1600): reward: 9.16883097589016, rate: 16.16883097589016, loss: 0.013428570702672005, rho: 0.4
