[TRAIN]: (178/1600): reward: -4.1169290617108345, rate: 5.883070945739746, td_error: -0.38116023084148765, rho: 0.4
[TRAIN]: (179/1600): reward: -5.888059679418802, rate: 5.111940383911133, td_error: -0.40940394140779973, rho: 0.4
[TRAIN]: (180/1600): reward: -8.731709361076355, rate: 0.268290638923645, td_error: -0.5572493612766266, rho: 0.4
[TRAIN]: (181/1600): reward: 4.032923698425293, rate: 16.03292465209961, td_error: -0.4734910449013114, rho: 0.4
[TRAIN]: (182/1600): reward: -8.120696544647217, rate: 4.879303455352783, td_error: -0.8204502370208502, rho: 0.4
[TRAIN]: (183/1600): reward: -9.928021661937237, rate: 0.07197833806276321, td_error: -0.7354128420352936, rho: 0.4
[TRAIN]: (184/1600): reward: -9.241284370422363, rate: 2.7587156295776367, td_error: -0.47096227407455443, rho: 0.4
[TRAIN]: (185/1600): reward: -9.050990104675293, rate: 3.949009895324707, td_error: -0.548087115958333, rho: 0.4
[TRAIN]: (186/1600): reward: -12.0, rate: 0, td_error: -0.4135262131690979, rho: 0.4
[TRAIN]: (187/1600): reward: -12.0, rate: 0, td_error: -0.39730818271636964, rho: 0.4
[TRAIN]: (188/1600): reward: -8.870901726186275, rate: 0.12909826636314392, td_error: -0.6768364459276199, rho: 0.4
[TRAIN]: (189/1600): reward: 0.6351014599204063, rate: 10.635101318359375, td_error: -0.2863515196368098, rho: 0.4
[TRAIN]: (190/1600): reward: -11.406993344426155, rate: 0.5930066704750061, td_error: -0.4962484061717987, rho: 0.4
[TRAIN]: (191/1600): reward: -13.68492779135704, rate: 0.3150722086429596, td_error: -0.578398334980011, rho: 0.4
[TRAIN]: (192/1600): reward: -12.0, rate: 0, td_error: -0.5047442436218261, rho: 0.4
[TRAIN]: (193/1600): reward: -14.0, rate: 0, td_error: -0.8257065176963806, rho: 0.4
[TRAIN]: (194/1600): reward: -7.572701930999756, rate: 4.427298069000244, td_error: -0.4547442436218262, rho: 0.4
[TRAIN]: (195/1600): reward: 1.4904685020446777, rate: 11.490468978881836, td_error: -0.38444854151457547, rho: 0.4
[TRAIN]: (196/1600): reward: -2.133396863937378, rate: 6.866602897644043, td_error: -0.42224033903330566, rho: 0.4
[TRAIN]: (197/1600): reward: 3.8186538219451904, rate: 13.81865406036377, td_error: -0.33515274301171305, rho: 0.4
[TRAIN]: (198/1600): reward: -14.0, rate: 0, td_error: -0.5121803045272827, rho: 0.4
[TRAIN]: (199/1600): reward: -10.078486680984497, rate: 0.9215133190155029, td_error: -0.44199455976486207, rho: 0.4
